39305.0, 17,9,8,2
38773.0, 13,12,8,2
0.0, 16,12,8,2
16745.33, 17,12,8,2
16745.33, 16,13,8,2
16745.33, 17,13,8,2
36020.0, 17,16,8,2
38773.0, 13,12,9,2
16745.33, 16,12,9,2
16745.33, 17,12,9,2
16745.33, 16,13,9,2
0.0, 17,13,9,2
36020.0, 17,16,9,2
38773.0, 16,13,12,2
38773.0, 17,13,12,2
36020.0, 17,16,12,2
36020.0, 17,16,13,2
38412.0, 8,5,4,3
38412.0, 9,5,4,3
38412.0, 12,5,4,3
38412.0, 13,5,4,3
38412.0, 16,5,4,3
38412.0, 17,5,4,3
39305.0, 9,8,4,3
0.0, 12,8,4,3
14353.33, 13,8,4,3
0.0, 16,8,4,3
17106.33, 17,8,4,3
14353.33, 12,9,4,3
14353.33, 13,9,4,3
17106.33, 16,9,4,3
17106.33, 17,9,4,3
38773.0, 13,12,4,3
0.0, 16,12,4,3
17638.33, 17,12,4,3
17638.33, 16,13,4,3
17638.33, 17,13,4,3
36020.0, 17,16,4,3
39305.0, 9,8,5,3
14353.33, 12,8,5,3
14353.33, 13,8,5,3
17106.33, 16,8,5,3
17106.33, 17,8,5,3
14353.33, 12,9,5,3
0.0, 13,9,5,3
17106.33, 16,9,5,3
0.0, 17,9,5,3
38773.0, 13,12,5,3
17638.33, 16,12,5,3
17638.33, 17,12,5,3
17638.33, 16,13,5,3
0.0, 17,13,5,3
36020.0, 17,16,5,3
39305.0, 12,9,8,3
39305.0, 13,9,8,3
39305.0, 16,9,8,3
39305.0, 17,9,8,3
38773.0, 13,12,8,3
0.0, 16,12,8,3
16745.33, 17,12,8,3
16745.33, 16,13,8,3
16745.33, 17,13,8,3
36020.0, 17,16,8,3
38773.0, 13,12,9,3
16745.33, 16,12,9,3
16745.33, 17,12,9,3
16745.33, 16,13,9,3
0.0, 17,13,9,3
36020.0, 17,16,9,3
38773.0, 16,13,12,3
38773.0, 17,13,12,3
36020.0, 17,16,12,3
36020.0, 17,16,13,3
64383.67, 9,8,5,4
38412.0, 12,8,5,4
39432.0, 13,8,5,4
38412.0, 16,8,5,4
42185.0, 17,8,5,4
39432.0, 12,9,5,4
38412.0, 13,9,5,4
42185.0, 16,9,5,4
38412.0, 17,9,5,4
63851.67, 13,12,5,4
38412.0, 16,12,5,4
42717.0, 17,12,5,4
42717.0, 16,13,5,4
38412.0, 17,13,5,4
61098.67, 17,16,5,4
39305.0, 12,9,8,4
40325.0, 13,9,8,4
39305.0, 16,9,8,4
43078.0, 17,9,8,4
38773.0, 13,12,8,4
0.0, 16,12,8,4
30000.0, 17,12,8,4
30440.0, 16,13,8,4
53333.33, 17,13,8,4
36020.0, 17,16,8,4
39793.0, 13,12,9,4
31639.0, 16,12,9,4
53333.33, 17,12,9,4
53333.33, 16,13,9,4
31967.0, 17,13,9,4
39793.0, 17,16,9,4
38773.0, 16,13,12,4
43078.0, 17,13,12,4
36020.0, 17,16,12,4
40325.0, 17,16,13,4
40325.0, 12,9,8,5
39305.0, 13,9,8,5
43078.0, 16,9,8,5
39305.0, 17,9,8,5
39793.0, 13,12,8,5
31967.0, 16,12,8,5
53333.33, 17,12,8,5
53333.33, 16,13,8,5
31639.0, 17,13,8,5
39793.0, 17,16,8,5
38773.0, 13,12,9,5
53333.33, 16,12,9,5
30440.0, 17,12,9,5
30000.0, 16,13,9,5
0.0, 17,13,9,5
36020.0, 17,16,9,5
43078.0, 16,13,12,5
38773.0, 17,13,12,5
40325.0, 17,16,12,5
36020.0, 17,16,13,5
64744.67, 13,12,9,8
39305.0, 16,12,9,8
42717.0, 17,12,9,8
42717.0, 16,13,9,8
39305.0, 17,13,9,8
61991.67, 17,16,9,8
38773.0, 16,13,12,8
42185.0, 17,13,12,8
36020.0, 17,16,12,8
39432.0, 17,16,13,8
42185.0, 16,13,12,9
38773.0, 17,13,12,9
39432.0, 17,16,12,9
36020.0, 17,16,13,9
61459.67, 17,16,13,12
44046.0, 4,3,2,1,0
44046.0, 5,3,2,1,0
44046.0, 8,3,2,1,0
44046.0, 9,3,2,1,0
44046.0, 12,3,2,1,0
44046.0, 13,3,2,1,0
44046.0, 16,3,2,1,0
44046.0, 17,3,2,1,0
38412.0, 5,4,2,1,0
0.0, 8,4,2,1,0
31639.0, 9,4,2,1,0
0.0, 12,4,2,1,0
30440.0, 13,4,2,1,0
0.0, 16,4,2,1,0
30000.0, 17,4,2,1,0
31967.0, 8,5,2,1,0
50272.67, 9,5,2,1,0
31967.0, 12,5,2,1,0
49073.67, 13,5,2,1,0
31967.0, 16,5,2,1,0
48633.67, 17,5,2,1,0
39305.0, 9,8,2,1,0
0.0, 12,8,2,1,0
30440.0, 13,8,2,1,0
0.0, 16,8,2,1,0
30000.0, 17,8,2,1,0
31639.0, 12,9,2,1,0
48745.67, 13,9,2,1,0
31639.0, 16,9,2,1,0
48305.67, 17,9,2,1,0
38773.0, 13,12,2,1,0
0.0, 16,12,2,1,0
30000.0, 17,12,2,1,0
30440.0, 16,13,2,1,0
47106.67, 17,13,2,1,0
36020.0, 17,16,2,1,0
38412.0, 5,4,3,1,0
0.0, 8,4,3,1,0
31639.0, 9,4,3,1,0
0.0, 12,4,3,1,0
30440.0, 13,4,3,1,0
0.0, 16,4,3,1,0
30000.0, 17,4,3,1,0
31967.0, 8,5,3,1,0
50272.67, 9,5,3,1,0
31967.0, 12,5,3,1,0
49073.67, 13,5,3,1,0
31967.0, 16,5,3,1,0
48633.67, 17,5,3,1,0
39305.0, 9,8,3,1,0
0.0, 12,8,3,1,0
