0.0,0
30146.0,0,1,4,13
0.0,0,1,4,16
30000.0,0,1,4,17
32605.0,0,1,5,8
49271.67,0,1,5,9
32605.0,0,1,5,12
49417.67,0,1,5,13
32605.0,0,1,5,16
49271.67,0,1,5,17
38516.0,0,1,8,9
0.0,0,1,8,12
30146.0,0,1,8,13
0.0,0,1,8,16
30000.0,0,1,8,17
30000.0,0,1,9,12
46812.67,0,1,9,13
30000.0,0,1,9,16
46666.67,0,1,9,17
37556.0,0,1,12,13
0.0,0,1,12,16
30000.0,0,1,12,17
30146.0,0,1,13,16
46812.67,0,1,13,17
38860.0,0,1,16,17
32605.0,0,2,3,4
0.0,0,2,3,5
30000.0,0,2,3,8
0.0,0,2,3,9
30146.0,0,2,3,12
0.0,0,2,3,13
30000.0,0,2,3,16
0.0,0,2,3,17
40000.0,0,2,4,5
0.0,0,2,4,8
3860.0,0,2,4,9
0.0,0,2,4,12
4042.67,0,2,4,13
0.0,0,2,4,16
3516.0,0,2,4,17
3860.0,0,2,5,8
0.0,0,2,5,9
4042.67,0,2,5,12
0.0,0,2,5,13
3516.0,0,2,5,16
0.0,0,2,5,17
38516.0,0,2,8,9
0.0,0,2,8,12
5526.67,0,2,8,13
0.0,0,2,8,16
5000.0,0,2,8,17
5526.67,0,2,9,12
0.0,0,2,9,13
5000.0,0,2,9,16
0.0,0,2,9,17
37556.0,0,2,12,13
0.0,0,2,12,16
5182.67,0,2,12,17
5182.67,0,2,13,16
0.0,0,2,13,17
38860.0,0,2,16,17
40000.0,0,3,4,5
0.0,0,3,4,8
3860.0,0,3,4,9
0.0,0,3,4,12
4042.67,0,3,4,13
0.0,0,3,4,16
3516.0,0,3,4,17
3860.0,0,3,5,8
0.0,0,3,5,9
4042.67,0,3,5,12
0.0,0,3,5,13
3516.0,0,3,5,16
0.0,0,3,5,17
38516.0,0,3,8,9
0.0,0,3,8,12
5526.67,0,3,8,13
0.0,0,3,8,16
5000.0,0,3,8,17
5526.67,0,3,9,12
0.0,0,3,9,13
5000.0,0,3,9,16
0.0,0,3,9,17
37556.0,0,3,12,13
0.0,0,3,12,16
5182.67,0,3,12,17
